Variable,Type,NumUniqueValues,Code,Description,Variable_Type,Positive Above 0,Negative Above 0,Positive Mean,Negative Mean
c17110_flag,numerical,2,17110,"DESTRUCTION (EG, LASER SURGERY, ELECTROSURGERY, CRYOSURGERY, CHEMOSURGERY, SURGICAL CURETTEMENT), OF BENIGN LESIONS OTHER THAN SKIN TAGS OR CUTANEOUS VASCULAR PROLIFERATIVE LESIONS; UP TO 14 LESIONS",NA,52,1124,0.01674179008370895,0.016583796863242694
c17110_index_max_dd,numerical,558,17110,"DESTRUCTION (EG, LASER SURGERY, ELECTROSURGERY, CRYOSURGERY, CHEMOSURGERY, SURGICAL CURETTEMENT), OF BENIGN LESIONS OTHER THAN SKIN TAGS OR CUTANEOUS VASCULAR PROLIFERATIVE LESIONS; UP TO 14 LESIONS",Date_Difference,52,1119,264.1730769230769,321.3167259786477
c17110_index_min_dd,numerical,563,17110,"DESTRUCTION (EG, LASER SURGERY, ELECTROSURGERY, CRYOSURGERY, CHEMOSURGERY, SURGICAL CURETTEMENT), OF BENIGN LESIONS OTHER THAN SKIN TAGS OR CUTANEOUS VASCULAR PROLIFERATIVE LESIONS; UP TO 14 LESIONS",Date_Difference,52,1120,367.3269230769231,372.93772241992883
c17110_max_min_dd,numerical,179,17110,"DESTRUCTION (EG, LASER SURGERY, ELECTROSURGERY, CRYOSURGERY, CHEMOSURGERY, SURGICAL CURETTEMENT), OF BENIGN LESIONS OTHER THAN SKIN TAGS OR CUTANEOUS VASCULAR PROLIFERATIVE LESIONS; UP TO 14 LESIONS",Date_Difference,18,248,103.15384615384616,51.620996441281136
c2022f_claim_cnt,numerical,11,2022F,DILATED RETINAL EYE EXAM WITH INTERPRETATION BY AN OPHTHALMOLOGIST OR OPTOMETRIST DOCUMENTED AND REVIEWED (DM),NA,49,893,0.023824855119124275,0.02124614544757071
c2022f_flag,numerical,2,2022F,DILATED RETINAL EYE EXAM WITH INTERPRETATION BY AN OPHTHALMOLOGIST OR OPTOMETRIST DOCUMENTED AND REVIEWED (DM),NA,49,893,0.015775917578879587,0.013175561031028226
c2022f_index_max_dd,numerical,520,2022F,DILATED RETINAL EYE EXAM WITH INTERPRETATION BY AN OPHTHALMOLOGIST OR OPTOMETRIST DOCUMENTED AND REVIEWED (DM),Date_Difference,48,888,318.7142857142857,308.58902575587905
c2022f_index_min_dd,numerical,522,2022F,DILATED RETINAL EYE EXAM WITH INTERPRETATION BY AN OPHTHALMOLOGIST OR OPTOMETRIST DOCUMENTED AND REVIEWED (DM),Date_Difference,48,891,386.85714285714283,412.83986562150056
c2022f_max_min_dd,numerical,219,2022F,DILATED RETINAL EYE EXAM WITH INTERPRETATION BY AN OPHTHALMOLOGIST OR OPTOMETRIST DOCUMENTED AND REVIEWED (DM),Date_Difference,12,318,68.14285714285714,104.2508398656215
c20610_claim_cnt,numerical,25,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJOR JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIAL BURSA); WITHOUT ULTRASOUND GUIDANCE",NA,154,3266,0.1184803605924018,0.10745533145462324
c20610_flag,numerical,2,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJOR JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIAL BURSA); WITHOUT ULTRASOUND GUIDANCE",NA,154,3266,0.049581455247907275,0.048187438216504126
c20610_index_max_dd,numerical,710,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJOR JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIAL BURSA); WITHOUT ULTRASOUND GUIDANCE",Date_Difference,154,3246,330.5,287.98162890385794
c20610_index_min_dd,numerical,720,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJOR JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIAL BURSA); WITHOUT ULTRASOUND GUIDANCE",Date_Difference,154,3255,429.8831168831169,383.59461114513164
c20610_max_min_dd,numerical,526,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJOR JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIAL BURSA); WITHOUT ULTRASOUND GUIDANCE",Date_Difference,65,1306,99.38311688311688,95.61298224127373
c3008f_claim_cnt,numerical,26,3008F,"BODY MASS INDEX (BMI), DOCUMENTED (PV)",NA,50,1410,0.030264005151320026,0.05464980745680688
c3008f_flag,numerical,2,3008F,"BODY MASS INDEX (BMI), DOCUMENTED (PV)",NA,50,1410,0.016097875080489377,0.020803517417412987
c3008f_index_max_dd,numerical,488,3008F,"BODY MASS INDEX (BMI), DOCUMENTED (PV)",Date_Difference,45,1247,185.42,172.94255319148937
c3008f_index_min_dd,numerical,613,3008F,"BODY MASS INDEX (BMI), DOCUMENTED (PV)",Date_Difference,48,1326,279.34,307.1127659574468
c3008f_max_min_dd,numerical,404,3008F,"BODY MASS INDEX (BMI), DOCUMENTED (PV)",Date_Difference,19,643,93.92,134.17021276595744
c3016f_claim_cnt,numerical,17,3016F,PATIENT SCREENED FOR UNHEALTHY ALCOHOL USE USING A SYSTEMATIC SCREENING METHOD (PV) (DSP),NA,54,1020,0.058918222794591114,0.03499712291780398
c3016f_flag,numerical,2,3016F,PATIENT SCREENED FOR UNHEALTHY ALCOHOL USE USING A SYSTEMATIC SCREENING METHOD (PV) (DSP),NA,54,1020,0.017385705086928525,0.015049353025362587
c3016f_index_max_dd,numerical,478,3016F,PATIENT SCREENED FOR UNHEALTHY ALCOHOL USE USING A SYSTEMATIC SCREENING METHOD (PV) (DSP),Date_Difference,40,885,207.87037037037038,251.50588235294117
c3016f_index_min_dd,numerical,523,3016F,PATIENT SCREENED FOR UNHEALTHY ALCOHOL USE USING A SYSTEMATIC SCREENING METHOD (PV) (DSP),Date_Difference,46,955,373.81481481481484,367.47254901960787
c3016f_max_min_dd,numerical,303,3016F,PATIENT SCREENED FOR UNHEALTHY ALCOHOL USE USING A SYSTEMATIC SCREENING METHOD (PV) (DSP),Date_Difference,30,468,165.94444444444446,115.96666666666667
c3017f_claim_cnt,numerical,25,3017F,COLORECTAL CANCER SCREENING RESULTS DOCUMENTED AND REVIEWED (PV),NA,83,1657,0.07018673535093367,0.06332531684789826
c3017f_flag,numerical,2,3017F,COLORECTAL CANCER SCREENING RESULTS DOCUMENTED AND REVIEWED (PV),NA,83,1657,0.026722472633612365,0.02444782153237824
