Variable,Type,NumUniqueValues,Variable_Type,Code,Description,Num Unique Values,Non Missing,Missing_N,Missing_P,Above 0,Positive Above 0,Negative Above 0,Precision,Above0_Diff,Above0_P,Positive Above0_P,Negative Above0_P,Mean,Positive Mean,Negative Mean,Percentage Mean Difference,Correlation,Abs_Correlation,p-value,p-value corrected,Diagnostic Odds,Positive Min,Positive P10,Positive P25,Positive P50,Positive P75,Positive P90,Positive Max,Negative Min,Negative P10,Negative P25,Negative P50,Negative P75,Negative P90,Negative Max
c00740_index_min_dd,numerical,573,Date_Difference,00740,"ANESTHESIA FOR UPPER GASTROINTESTINAL ENDOSCOPIC PROCEDURES, ENDOSCOPE INTRODUCED PROXIMAL TO DUODENUM",573,1536,69347,0.9783304882694016,1456,53,1403.0,0.0364010989010989,0.0036364899583907796,0.020540891327962985,0.017063747585318742,0.020700237543709518,255.46028645833331,265.1481481481481,255.1072874493927,0.03930497705909817,0.01932,0.01932,0.44931000000000004,0.6785948019801981,2.98431931575196,0.0,26.6,83.75,220.5,394.75,585.2,704,0.0,6.099999999999994,41.0,202.0,445.0,618.9000000000002,729
c00740_max_min_dd,numerical,133,Date_Difference,00740,"ANESTHESIA FOR UPPER GASTROINTESTINAL ENDOSCOPIC PROCEDURES, ENDOSCOPE INTRODUCED PROXIMAL TO DUODENUM",133,1536,69347,0.9783304882694016,177,8,169.0,0.04519774011299435,8.218877632312642e-05,0.0024970726408306645,0.0025756600128783,0.0024934712365551736,20.555338541666668,26.83333333333333,20.32658569500675,0.3165478216346129,0.01908,0.01908,0.4549,0.6819028505897773,1.3511705685618731,0.0,0.0,0.0,0.0,0.0,38.700000000000095,490,0.0,0.0,0.0,0.0,0.0,17.0,716
c00810_claim_cnt,numerical,7,,00740,"ANESTHESIA FOR UPPER GASTROINTESTINAL ENDOSCOPIC PROCEDURES, ENDOSCOPE INTRODUCED PROXIMAL TO DUODENUM",7,70883,0,0.0,3197,112,3085.0,0.035032843290584925,0.009457675587589665,0.04510249284031432,0.0360592401802962,0.04551691576788586,0.05537293850429581,0.04185447520927238,0.055992445814951976,0.2553227440617546,-0.00941,0.00941,0.01225,0.056609848484848485,0.7844434411773304,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,6
c00810_flag,numerical,2,,00740,"ANESTHESIA FOR UPPER GASTROINTESTINAL ENDOSCOPIC PROCEDURES, ENDOSCOPE INTRODUCED PROXIMAL TO DUODENUM",2,70883,0,0.0,3197,112,3085.0,0.035032843290584925,0.009457675587589665,0.04510249284031432,0.0360592401802962,0.04551691576788586,0.04510249284031432,0.0360592401802962,0.04551691576788586,0.2096929679934683,-0.00933,0.00933,0.013009999999999999,0.05964003006012025,0.7844434411773304,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
c00810_index_max_dd,numerical,719,Date_Difference,00810,"ANESTHESIA FOR LOWER INTESTINAL ENDOSCOPIC PROCEDURES, ENDOSCOPE INTRODUCED DISTAL TO DUODENUM",719,3197,67686,0.9548975071596856,3130,111,3019.0,0.03546325878594249,0.008805851422852458,0.04415727325310723,0.035737282678686415,0.044543134101538866,301.18955270566164,316.04464285714283,300.65024311183146,0.05111199776691989,0.014219999999999998,0.014219999999999998,0.42167,0.6581850051177073,2.426631334879099,0.0,39.3,115.75,314.0,485.0,624.9,728,0.0,25.0,98.0,273.0,482.0,621.5999999999998,730
c00810_index_min_dd,numerical,718,Date_Difference,00810,"ANESTHESIA FOR LOWER INTESTINAL ENDOSCOPIC PROCEDURES, ENDOSCOPE INTRODUCED DISTAL TO DUODENUM",718,3197,67686,0.9548975071596856,3134,111,3023.0,0.035417996171027435,0.008864868493540151,0.044213704273239,0.035737282678686415,0.044602151172226566,312.5564591804817,330.54464285714283,311.9034035656402,0.059641190396063776,0.01648,0.01648,0.35162,0.591419669117647,2.2765464770095933,0.0,42.70000000000001,129.25,325.5,512.75,649.5000000000001,728,0.0,27.0,105.0,293.0,499.0,632.5999999999998,730
c00810_max_min_dd,numerical,125,Date_Difference,00810,"ANESTHESIA FOR LOWER INTESTINAL ENDOSCOPIC PROCEDURES, ENDOSCOPE INTRODUCED DISTAL TO DUODENUM",125,3197,67686,0.9548975071596856,157,4,153.0,0.025477707006369428,0.0009695729473652377,0.0022149175401718325,0.00128783000643915,0.002257402953804388,11.366906474820144,14.5,11.253160453808752,0.285639681595306,-0.011170000000000001,0.011170000000000001,0.5279,0.7389491900977996,0.7097555071411281,0.0,0.0,0.0,0.0,0.0,0.0,706,0.0,0.0,0.0,0.0,0.0,0.0,665
c00865_claim_cnt,numerical,5,,00810,"ANESTHESIA FOR LOWER INTESTINAL ENDOSCOPIC PROCEDURES, ENDOSCOPE INTRODUCED DISTAL TO DUODENUM",5,70883,0,0.0,2247,16,2231.0,0.007120605251446374,0.02776545115030608,0.031700125559019784,0.0051513200257566,0.03291677117606268,0.04201289448810011,0.005795235028976175,0.04367263230889535,0.9015660011391909,-0.03247,0.03247,0.0,0.0,0.1521276395132431,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,4
c00865_flag,numerical,2,,00810,"ANESTHESIA FOR LOWER INTESTINAL ENDOSCOPIC PROCEDURES, ENDOSCOPE INTRODUCED DISTAL TO DUODENUM",2,70883,0,0.0,2247,16,2231.0,0.007120605251446374,0.02776545115030608,0.031700125559019784,0.0051513200257566,0.03291677117606268,0.031700125559019784,0.0051513200257566,0.03291677117606268,0.8758782705327751,-0.03244,0.03244,0.0,0.0,0.1521276395132431,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
c00865_index_max_dd,numerical,474,Date_Difference,00865,"ANESTHESIA FOR EXTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN, INCLUDING URINARY TRACT; RADICAL PROSTATECTOMY (SUPRAPUBIC, RETROPUBIC)",474,2247,68636,0.9682998744409802,881,15,866.0,0.0170261066969353,0.007947833279739459,0.012428932184021557,0.004829362524146813,0.012777195803886272,105.70271473075212,388.125,103.67727476467951,2.691016271056717,0.1155,0.1155,0.0,0.0,23.64318706697459,0.0,150.5,286.0,374.0,554.75,653.5,667,0.0,0.0,0.0,0.0,127.0,428.0,730
c00865_index_min_dd,numerical,472,Date_Difference,00865,"ANESTHESIA FOR EXTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN, INCLUDING URINARY TRACT; RADICAL PROSTATECTOMY (SUPRAPUBIC, RETROPUBIC)",472,2247,68636,0.9682998744409802,884,15,869.0,0.016968325791855202,0.007992096082755234,0.012471255449120382,0.004829362524146813,0.012821458606902049,106.05162438807298,388.125,104.02868668758404,2.678849239242456,0.11524000000000001,0.11524000000000001,0.0,0.0,23.509781357882623,0.0,150.5,286.0,374.0,554.75,653.5,667,0.0,0.0,0.0,0.0,127.0,429.0,730
c00865_max_min_dd,numerical,8,Date_Difference,00865,"ANESTHESIA FOR EXTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN, INCLUDING URINARY TRACT; RADICAL PROSTATECTOMY (SUPRAPUBIC, RETROPUBIC)",8,2247,68636,0.9682998744409802,6,0,6.0,0.0,8.852560603154462e-05,8.464653019764965e-05,0.0,8.852560603154462e-05,0.34890965732087226,0.0,0.3514119229045271,1.0071716718960109,-0.004379999999999999,0.004379999999999999,0.83554,0.9138305661729575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,581
c00910_claim_cnt,numerical,14,,00865,"ANESTHESIA FOR EXTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN, INCLUDING URINARY TRACT; RADICAL PROSTATECTOMY (SUPRAPUBIC, RETROPUBIC)",14,70883,0,0.0,1375,82,1293.0,0.059636363636363626,0.007323247032204709,0.019398163170294712,0.02640051513200257,0.019077268099797862,0.031629586783855086,0.0412105602060528,0.031190521858447555,0.31679321061253457,0.01087,0.01087,0.0038,0.021895465994962216,1.39428219513293,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,20
c00910_flag,numerical,2,,00865,"ANESTHESIA FOR EXTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN, INCLUDING URINARY TRACT; RADICAL PROSTATECTOMY (SUPRAPUBIC, RETROPUBIC)",2,70883,0,0.0,1375,82,1293.0,0.059636363636363626,0.007323247032204709,0.019398163170294712,0.02640051513200257,0.019077268099797862,0.019398163170294712,0.02640051513200257,0.019077268099797862,0.3775227050063755,0.01087,0.01087,0.00381,0.021897927135678397,1.39428219513293,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
c00910_index_max_dd,numerical,528,Date_Difference,00910,ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY); NOT OTHERWISE SPECIFIED,528,1375,69508,0.9806018368297053,1244,74,1170.0,0.0594855305466238,0.006562361942973074,0.01755004726097936,0.023824855119124275,0.0172624931761512,205.9214545454545,232.20731707317074,204.25444702242842,0.13574530207376742,0.03893,0.03893,0.14911,0.34383984375,0.9724358974358972,0.0,4.299999999999999,54.0,159.5,408.0,533.1000000000001,729,0.0,1.0,24.0,118.0,336.0,568.8,730
c00910_index_min_dd,numerical,554,Date_Difference,00910,ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY); NOT OTHERWISE SPECIFIED,554,1375,69508,0.9806018368297053,1269,75,1194.0,0.0591016548463357,0.006530217020456683,0.017902741136802902,0.024146812620734058,0.017616595600277382,245.30327272727277,276.9634146341463,243.29543696829083,0.13725042186162534,0.03973,0.03973,0.14087,0.3334093378168649,0.8883704235463029,0.0,12.2,69.75,241.0,480.75,557.6000000000001,729,0.0,3.0,37.0,181.0,414.0,612.8,730
c00910_max_min_dd,numerical,197,Date_Difference,00910,ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY); NOT OTHERWISE SPECIFIED,197,1375,69508,0.9806018368297053,260,17,243.0,0.06538461538461539,0.0018879904830888304,0.003668016308564818,0.005473277527366388,0.003585287044277557,39.38181818181818,44.75609756097561,39.040989945862336,0.1451204611409188,0.01396,0.01396,0.60507,0.7919315842150415,1.1301044634377968,0.0,0.0,0.0,0.0,0.0,235.50000000000009,427,0.0,0.0,0.0,0.0,0.0,134.39999999999986,672
c00914_claim_cnt,numerical,6,,00910,ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY); NOT OTHERWISE SPECIFIED,6,70883,0,0.0,1242,78,1164.0,0.06280193236714976,0.007938717555443769,0.017521831750913482,0.025112685125563427,0.017173967570119658,0.023362442334551304,0.03541532517707663,0.022810097820794663,0.5395509243329315,0.01245,0.01245,0.0009199999999999999,0.006628346456692913,1.4741604134606217,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,6
c00914_flag,numerical,2,,00910,ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY); NOT OTHERWISE SPECIFIED,2,70883,0,0.0,1242,78,1164.0,0.06280193236714976,0.007938717555443769,0.017521831750913482,0.025112685125563427,0.017173967570119658,0.017521831750913475,0.025112685125563427,0.017173967570119658,0.4530757781662808,0.01239,0.01239,0.00098,0.007027429467084639,1.4741604134606217,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
c00914_index_max_dd,numerical,521,Date_Difference,00914,ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY); TRANSURETHRAL RESECTION OF PROSTATE,521,1242,69641,0.9824781682490864,1136,76,1060.0,0.06690140845070422,0.008829246390104302,0.016026409717421666,0.02446877012234385,0.01563952373223955,223.93156199677938,325.0897435897436,217.1529209621993,0.4820080816883537,0.13355999999999998,0.13355999999999998,0.0,0.0,3.728301886792453,0.0,63.89999999999999,136.25,337.0,500.5,616.0,722,0.0,2.0,36.0,146.0,367.25,566.0,730
c00914_index_min_dd,numerical,529,Date_Difference,00914,ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY); TRANSURETHRAL RESECTION OF PROSTATE,529,1242,69641,0.9824781682490864,1144,77,1067.0,0.0673076923076923,0.00904792401801062,0.0161392717576852,0.02479072762395364,0.015742803605943018,237.9476650563607,334.29487179487177,231.49140893470792,0.43204232676884496,0.12805999999999998,0.12805999999999998,1e-05,0.000119140625,6.999999999999999,0.0,70.19999999999999,149.75,354.0,500.5,616.0,722,0.0,5.0,38.0,161.5,398.25,588.7,730
c00914_max_min_dd,numerical,68,Date_Difference,00914,ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY); TRANSURETHRAL RESECTION OF PROSTATE,68,1242,69641,0.9824781682490864,79,6,73.0,0.0759493670886076,0.0008546834696082653,0.0011145126476023869,0.0019317450096587247,0.0010770615400504595,14.01610305958132,9.205128205128204,14.338487972508593,0.3662472903886972,0.012629999999999999,0.012629999999999999,0.65666,0.8257887575590984,1.245433789954338,0.0,0.0,0.0,0.0,0.0,0.0,261,0.0,0.0,0.0,0.0,0.0,0.0,693
c1036f_claim_cnt,numerical,32,,00914,ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY); TRANSURETHRAL RESECTION OF PROSTATE,32,70883,0,0.0,7261,408,6853.0,0.056190607354358914,0.03024766430109742,0.102436409294189,0.1313586606567933,0.10111099635569587,0.2968553814031573,0.3989053444945268,0.292178762707113,0.3595238236307028,0.020659999999999998,0.020659999999999998,0.0,0.0,1.344391925446556,0.0,0.0,0.0,0.0,0.0,1.0,22,0.0,0.0,0.0,0.0,0.0,1.0,37
c1036f_flag,numerical,2,,00914,ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY); TRANSURETHRAL RESECTION OF PROSTATE,2,70883,0,0.0,7261,408,6853.0,0.056190607354358914,0.03024766430109742,0.102436409294189,0.1313586606567933,0.10111099635569587,0.102436409294189,0.1313586606567933,0.10111099635569587,0.29528235623945576,0.020419999999999997,0.020419999999999997,0.0,0.0,1.344391925446556,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1
c1036f_index_max_dd,numerical,728,Date_Difference,1036F,"CURRENT TOBACCO NON-USER (CAD, CAP, COPD, PV) (DM) (IBD)",728,7261,63622,0.8975635907058109,6349,342,6007.0,0.053866750669396765,0.021480579645299244,0.08957013670414626,0.11010946555054732,0.08862888590524809,205.64922187026582,212.37745098039213,205.2486502261783,0.034664856445268045,-0.00687,0.00687,0.5582600000000001,0.7601308035714285,0.7297849478638558,0.0,0.0,15.75,109.0,391.25,590.3,730,0.0,0.0,21.0,125.0,351.0,560.0,730
c1036f_index_min_dd,numerical,732,Date_Difference,1036F,"CURRENT TOBACCO NON-USER (CAD, CAP, COPD, PV) (DM) (IBD)",732,7261,63622,0.8975635907058109,6940,390,6550.0,0.056195965417867436,0.028922972376714262,0.09790781992861476,0.12556342562781714,0.09664045325110288,368.01693981545236,396.65931372549016,366.31168831168833,0.08246257748086314,0.02975,0.02975,0.01125,0.052680399181166834,1.002290076335878,0.0,27.700000000000006,154.75,430.5,629.0,705.3,730,0.0,24.0,131.0,380.0,599.0,686.0,730
c1036f_max_min_dd,numerical,711,Date_Difference,1036F,"CURRENT TOBACCO NON-USER (CAD, CAP, COPD, PV) (DM) (IBD)",711,7261,63622,0.8975635907058109,4045,233,3812.0,0.05760197775030902,0.0187728295097058,0.0570658691082488,0.07501609787508047,0.05624326836537469,162.36771794518663,184.28186274509804,161.06303808551002,0.14300148424470954,0.01718,0.01718,0.14322000000000001,0.3370532407407407,1.0621391095787738,0.0,0.0,0.0,54.5,339.25,589.4000000000002,727,0.0,0.0,0.0,31.0,300.0,531.0,730
c1101f_claim_cnt,numerical,20,,1036F,"CURRENT TOBACCO NON-USER (CAD, CAP, COPD, PV) (DM) (IBD)",20,70883,0,0.0,1830,88,1742.0,0.048087431693989074,0.002630325857169512,0.02581719171028314,0.028332260141661306,0.02570193428449179,0.050646840568260375,0.05795235028976175,0.0503120527612612,0.15085437596454168,0.0034200000000000003,0.0034200000000000003,0.36225,0.5987153304442038,1.1053236645949027,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,36
c1101f_flag,numerical,2,,1036F,"CURRENT TOBACCO NON-USER (CAD, CAP, COPD, PV) (DM) (IBD)",2,70883,0,0.0,1830,88,1742.0,0.048087431693989074,0.002630325857169512,0.02581719171028314,0.028332260141661306,0.02570193428449179,0.025817191710283145,0.028332260141661306,0.025701934284491787,0.10188272553756653,0.00339,0.00339,0.36607,0.6033034041786743,1.1053236645949027,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
c1101f_index_max_dd,numerical,596,Date_Difference,1101F,PATIENT SCREENED FOR FUTURE FALL RISK; DOCUMENTATION OF NO FALLS IN THE PAST YEAR OR ONLY 1 FALL WITHOUT INJURY IN THE PAST YEAR (GER),596,1830,69053,0.9741828082897168,1701,79,1622.0,0.04644326866549089,0.0015032204633123152,0.023997291311033675,0.025434642627173213,0.023931422163860898,226.9792349726776,236.1818181818182,226.51435132032145,0.04259185587025358,0.00061,0.00061,0.9792200000000001,0.9874921203438396,0.6494040279490342,0.0,9.100000000000014,47.5,139.5,403.75,606.5999999999998,722,0.0,6.100000000000023,47.0,171.5,360.0,558.8000000000002,729
c1101f_index_min_dd,numerical,658,Date_Difference,1101F,PATIENT SCREENED FOR FUTURE FALL RISK; DOCUMENTATION OF NO FALLS IN THE PAST YEAR OR ONLY 1 FALL WITHOUT INJURY IN THE PAST YEAR (GER),658,1830,69053,0.9741828082897168,1756,84,1672.0,0.04783599088838269,0.0023752945877650485,0.024773217837845463,0.02704443013522215,0.024669135547457102,314.06284153005464,317.46590909090907,313.89092996555684,0.011383005732023593,0.00266,0.00266,0.90933,0.9559248046875,0.8791866028708134,0.0,35.7,99.5,269.5,519.0,672.3,728,0.0,27.0,101.0,301.0,509.0,647.0,730
c1101f_max_min_dd,numerical,361,Date_Difference,1101F,PATIENT SCREENED FOR FUTURE FALL RISK; DOCUMENTATION OF NO FALLS IN THE PAST YEAR OR ONLY 1 FALL WITHOUT INJURY IN THE PAST YEAR (GER),361,1830,69053,0.9741828082897168,635,27,608.0,0.04251968503937008,0.00027774220106559217,0.008958424445917922,0.008692852543464262,0.008970594744529855,87.08360655737705,81.2840909090909,87.37657864523537,0.06996136215523265,-0.013090000000000001,0.013090000000000001,0.57572,0.7734785672342925,0.8255500431406385,0.0,0.0,0.0,0.0,131.75,326.5,637,0.0,0.0,0.0,0.0,84.0,366.90000000000015,721
c11100_claim_cnt,numerical,9,,1101F,PATIENT SCREENED FOR FUTURE FALL RISK; DOCUMENTATION OF NO FALLS IN THE PAST YEAR OR ONLY 1 FALL WITHOUT INJURY IN THE PAST YEAR (GER),9,70883,0,0.0,1563,65,1498.0,0.04158669225847729,0.001174655367906119,0.02205042111648773,0.02092723760463619,0.02210189297254231,0.027580661089400844,0.026078557630392792,0.027649497617185773,0.056958025106827175,-0.00164,0.00164,0.6614899999999999,0.8300375068568293,0.9457167267636032,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,20
c11100_flag,numerical,2,,1101F,PATIENT SCREENED FOR FUTURE FALL RISK; DOCUMENTATION OF NO FALLS IN THE PAST YEAR OR ONLY 1 FALL WITHOUT INJURY IN THE PAST YEAR (GER),2,70883,0,0.0,1563,65,1498.0,0.04158669225847729,0.001174655367906119,0.02205042111648773,0.02092723760463619,0.02210189297254231,0.02205042111648773,0.02092723760463619,0.02210189297254231,0.05327133489653834,-0.00164,0.00164,0.66289,0.8304633178209692,0.9457167267636032,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
c11100_index_max_dd,numerical,628,Date_Difference,11100,"BIOPSY OF SKIN, SUBCUTANEOUS TISSUE AND/OR MUCOUS MEMBRANE (INCLUDING SIMPLE CLOSURE), UNLESS OTHERWISE LISTED; SINGLE LESION",628,1563,69320,0.9779495788835124,1537,65,1472.0,0.04229017566688354,0.0007910444084360918,0.02168361948563125,0.02092723760463619,0.02171828201307228,333.4542546385157,380.5692307692308,331.40987983978636,0.14742457247317506,0.04672,0.04672,0.06482,0.19746820905459386,inf,26.0,103.2,193.0,392.0,567.0,652.5999999999998,730,0.0,43.0,129.0,306.0,528.75,651.0,730
c11100_index_min_dd,numerical,632,Date_Difference,11100,"BIOPSY OF SKIN, SUBCUTANEOUS TISSUE AND/OR MUCOUS MEMBRANE (INCLUDING SIMPLE CLOSURE), UNLESS OTHERWISE LISTED; SINGLE LESION",632,1563,69320,0.9779495788835124,1540,65,1475.0,0.042207792207792215,0.0008353072114518634,0.02172594275073008,0.02092723760463619,0.021762544816088053,367.3966730646194,411.5538461538462,365.4806408544727,0.12540452507382924,0.04118,0.04118,0.10361,0.27055693493150684,inf,26.0,117.6,236.0,433.0,579.0,652.5999999999998,730,0.0,57.40000000000003,165.0,371.5,565.5,671.0,730
c11100_max_min_dd,numerical,164,Date_Difference,11100,"BIOPSY OF SKIN, SUBCUTANEOUS TISSUE AND/OR MUCOUS MEMBRANE (INCLUDING SIMPLE CLOSURE), UNLESS OTHERWISE LISTED; SINGLE LESION",164,1563,69320,0.9779495788835124,210,9,201.0,0.042857142857142864,6.799028756865767e-05,0.0029626285569177373,0.0028976175144880875,0.002965607802056745,33.94241842610365,30.984615384615388,34.07076101468625,0.0909229740594277,0.00186,0.00186,0.9415100000000001,0.9668705387205389,1.037046908315565,0.0,0.0,0.0,0.0,0.0,54.8,490,0.0,0.0,0.0,0.0,0.0,91.49999999999977,693
c1123f_claim_cnt,numerical,25,,11100,"BIOPSY OF SKIN, SUBCUTANEOUS TISSUE AND/OR MUCOUS MEMBRANE (INCLUDING SIMPLE CLOSURE), UNLESS OTHERWISE LISTED; SINGLE LESION",25,70883,0,0.0,1978,96,1882.0,0.04853387259858443,0.003140388395978439,0.0279051394551585,0.0309079201545396,0.027767531758561163,0.06760436211785617,0.07823567289117836,0.06711716363958277,0.16446437631069516,0.00389,0.00389,0.30017,0.5346285519657454,1.116702737244961,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,40
