Column,Type,NumUniqueValues,Code,Description,Class
c1101f_index_max_dd,numerical,596,1101F,PATIENT SCREENED FOR FUTURE FALL RISK; DOCUMENTATION OF NO FALLS IN THE PAST YEAR OR ONLY 1 FALL WITHOUT INJURY IN THE PAST YEAR (GER),CPT
c1101f_index_min_dd,numerical,658,1101F,PATIENT SCREENED FOR FUTURE FALL RISK; DOCUMENTATION OF NO FALLS IN THE PAST YEAR OR ONLY 1 FALL WITHOUT INJURY IN THE PAST YEAR (GER),CPT
c1101f_max_min_dd,numerical,361,1101F,PATIENT SCREENED FOR FUTURE FALL RISK; DOCUMENTATION OF NO FALLS IN THE PAST YEAR OR ONLY 1 FALL WITHOUT INJURY IN THE PAST YEAR (GER),CPT
c11100_claim_cnt,numerical,9,11100,"BIOPSY OF SKIN, SUBCUTANEOUS TISSUE AND/OR MUCOUS MEMBRANE (INCLUDING SIMPLE CLOSURE), UNLESS OTHERWISE LISTED; SINGLE LESION",CPT
c11100_flag,numerical,2,11100,"BIOPSY OF SKIN, SUBCUTANEOUS TISSUE AND/OR MUCOUS MEMBRANE (INCLUDING SIMPLE CLOSURE), UNLESS OTHERWISE LISTED; SINGLE LESION",CPT
c11100_index_max_dd,numerical,628,11100,"BIOPSY OF SKIN, SUBCUTANEOUS TISSUE AND/OR MUCOUS MEMBRANE (INCLUDING SIMPLE CLOSURE), UNLESS OTHERWISE LISTED; SINGLE LESION",CPT
c11100_index_min_dd,numerical,632,11100,"BIOPSY OF SKIN, SUBCUTANEOUS TISSUE AND/OR MUCOUS MEMBRANE (INCLUDING SIMPLE CLOSURE), UNLESS OTHERWISE LISTED; SINGLE LESION",CPT
c11100_max_min_dd,numerical,164,11100,"BIOPSY OF SKIN, SUBCUTANEOUS TISSUE AND/OR MUCOUS MEMBRANE (INCLUDING SIMPLE CLOSURE), UNLESS OTHERWISE LISTED; SINGLE LESION",CPT
c1123f_claim_cnt,numerical,25,1123F,"ADVANCE CARE PLANNING DISCUSSED AND DOCUMENTED ADVANCE CARE PLAN OR SURROGATE DECISION MAKER DOCUMENTED IN THE MEDICAL RECORD (DEM) (GER, PALL CR)",CPT
c1123f_flag,numerical,2,1123F,"ADVANCE CARE PLANNING DISCUSSED AND DOCUMENTED ADVANCE CARE PLAN OR SURROGATE DECISION MAKER DOCUMENTED IN THE MEDICAL RECORD (DEM) (GER, PALL CR)",CPT
c1123f_index_max_dd,numerical,533,1123F,"ADVANCE CARE PLANNING DISCUSSED AND DOCUMENTED ADVANCE CARE PLAN OR SURROGATE DECISION MAKER DOCUMENTED IN THE MEDICAL RECORD (DEM) (GER, PALL CR)",CPT
c1123f_index_min_dd,numerical,627,1123F,"ADVANCE CARE PLANNING DISCUSSED AND DOCUMENTED ADVANCE CARE PLAN OR SURROGATE DECISION MAKER DOCUMENTED IN THE MEDICAL RECORD (DEM) (GER, PALL CR)",CPT
c1123f_max_min_dd,numerical,412,1123F,"ADVANCE CARE PLANNING DISCUSSED AND DOCUMENTED ADVANCE CARE PLAN OR SURROGATE DECISION MAKER DOCUMENTED IN THE MEDICAL RECORD (DEM) (GER, PALL CR)",CPT
c1126f_claim_cnt,numerical,16,1126F,PAIN SEVERITY QUANTIFIED; NO PAIN PRESENT (COA) (ONC),CPT
c1126f_flag,numerical,2,1126F,PAIN SEVERITY QUANTIFIED; NO PAIN PRESENT (COA) (ONC),CPT
c1126f_index_max_dd,numerical,491,1126F,PAIN SEVERITY QUANTIFIED; NO PAIN PRESENT (COA) (ONC),CPT
c1126f_index_min_dd,numerical,573,1126F,PAIN SEVERITY QUANTIFIED; NO PAIN PRESENT (COA) (ONC),CPT
c1126f_max_min_dd,numerical,335,1126F,PAIN SEVERITY QUANTIFIED; NO PAIN PRESENT (COA) (ONC),CPT
c1159f_claim_cnt,numerical,28,1159F,MEDICATION LIST DOCUMENTED IN MEDICAL RECORD (COA),CPT
c1159f_flag,numerical,2,1159F,MEDICATION LIST DOCUMENTED IN MEDICAL RECORD (COA),CPT
c1159f_index_max_dd,numerical,599,1159F,MEDICATION LIST DOCUMENTED IN MEDICAL RECORD (COA),CPT
c1159f_index_min_dd,numerical,682,1159F,MEDICATION LIST DOCUMENTED IN MEDICAL RECORD (COA),CPT
c1159f_max_min_dd,numerical,527,1159F,MEDICATION LIST DOCUMENTED IN MEDICAL RECORD (COA),CPT
c1160f_claim_cnt,numerical,25,1160F,"REVIEW OF ALL MEDICATIONS BY A PRESCRIBING PRACTITIONER OR CLINICAL PHARMACIST (SUCH AS, PRESCRIPTIONS, OTCS, HERBAL THERAPIES AND SUPPLEMENTS) DOCUMENTED IN THE MEDICAL RECORD (COA)",CPT
c1160f_flag,numerical,2,1160F,"REVIEW OF ALL MEDICATIONS BY A PRESCRIBING PRACTITIONER OR CLINICAL PHARMACIST (SUCH AS, PRESCRIPTIONS, OTCS, HERBAL THERAPIES AND SUPPLEMENTS) DOCUMENTED IN THE MEDICAL RECORD (COA)",CPT
c1160f_index_max_dd,numerical,579,1160F,"REVIEW OF ALL MEDICATIONS BY A PRESCRIBING PRACTITIONER OR CLINICAL PHARMACIST (SUCH AS, PRESCRIPTIONS, OTCS, HERBAL THERAPIES AND SUPPLEMENTS) DOCUMENTED IN THE MEDICAL RECORD (COA)",CPT
c1160f_index_min_dd,numerical,676,1160F,"REVIEW OF ALL MEDICATIONS BY A PRESCRIBING PRACTITIONER OR CLINICAL PHARMACIST (SUCH AS, PRESCRIPTIONS, OTCS, HERBAL THERAPIES AND SUPPLEMENTS) DOCUMENTED IN THE MEDICAL RECORD (COA)",CPT
c1160f_max_min_dd,numerical,525,1160F,"REVIEW OF ALL MEDICATIONS BY A PRESCRIBING PRACTITIONER OR CLINICAL PHARMACIST (SUCH AS, PRESCRIPTIONS, OTCS, HERBAL THERAPIES AND SUPPLEMENTS) DOCUMENTED IN THE MEDICAL RECORD (COA)",CPT
c1170f_claim_cnt,numerical,19,1170F,FUNCTIONAL STATUS ASSESSED (COA) (RA),CPT
c1170f_flag,numerical,2,1170F,FUNCTIONAL STATUS ASSESSED (COA) (RA),CPT
c1170f_index_max_dd,numerical,563,1170F,FUNCTIONAL STATUS ASSESSED (COA) (RA),CPT
c1170f_index_min_dd,numerical,663,1170F,FUNCTIONAL STATUS ASSESSED (COA) (RA),CPT
c1170f_max_min_dd,numerical,397,1170F,FUNCTIONAL STATUS ASSESSED (COA) (RA),CPT
c11721_claim_cnt,numerical,18,11721,DEBRIDEMENT OF NAIL(S) BY ANY METHOD(S); 6 OR MORE,CPT
c11721_flag,numerical,2,11721,DEBRIDEMENT OF NAIL(S) BY ANY METHOD(S); 6 OR MORE,CPT
c11721_index_max_dd,numerical,546,11721,DEBRIDEMENT OF NAIL(S) BY ANY METHOD(S); 6 OR MORE,CPT
c11721_index_min_dd,numerical,635,11721,DEBRIDEMENT OF NAIL(S) BY ANY METHOD(S); 6 OR MORE,CPT
c11721_max_min_dd,numerical,437,11721,DEBRIDEMENT OF NAIL(S) BY ANY METHOD(S); 6 OR MORE,CPT
c17000_claim_cnt,numerical,15,17000,"DESTRUCTION (EG, LASER SURGERY, ELECTROSURGERY, CRYOSURGERY, CHEMOSURGERY, SURGICAL CURETTEMENT), PREMALIGNANT LESIONS (EG, ACTINIC KERATOSES); FIRST LESION",CPT
c17000_flag,numerical,2,17000,"DESTRUCTION (EG, LASER SURGERY, ELECTROSURGERY, CRYOSURGERY, CHEMOSURGERY, SURGICAL CURETTEMENT), PREMALIGNANT LESIONS (EG, ACTINIC KERATOSES); FIRST LESION",CPT
c17000_index_max_dd,numerical,695,17000,"DESTRUCTION (EG, LASER SURGERY, ELECTROSURGERY, CRYOSURGERY, CHEMOSURGERY, SURGICAL CURETTEMENT), PREMALIGNANT LESIONS (EG, ACTINIC KERATOSES); FIRST LESION",CPT
c17000_index_min_dd,numerical,705,17000,"DESTRUCTION (EG, LASER SURGERY, ELECTROSURGERY, CRYOSURGERY, CHEMOSURGERY, SURGICAL CURETTEMENT), PREMALIGNANT LESIONS (EG, ACTINIC KERATOSES); FIRST LESION",CPT
c17000_max_min_dd,numerical,423,17000,"DESTRUCTION (EG, LASER SURGERY, ELECTROSURGERY, CRYOSURGERY, CHEMOSURGERY, SURGICAL CURETTEMENT), PREMALIGNANT LESIONS (EG, ACTINIC KERATOSES); FIRST LESION",CPT
c17003_claim_cnt,numerical,13,17003,"DESTRUCTION (EG, LASER SURGERY, ELECTROSURGERY, CRYOSURGERY, CHEMOSURGERY, SURGICAL CURETTEMENT), PREMALIGNANT LESIONS (EG, ACTINIC KERATOSES); SECOND THROUGH 14 LESIONS, EACH (LIST SEPARATELY IN ADDITION TO CODE FOR FIRST LESION)",CPT
c17003_flag,numerical,2,17003,"DESTRUCTION (EG, LASER SURGERY, ELECTROSURGERY, CRYOSURGERY, CHEMOSURGERY, SURGICAL CURETTEMENT), PREMALIGNANT LESIONS (EG, ACTINIC KERATOSES); SECOND THROUGH 14 LESIONS, EACH (LIST SEPARATELY IN ADDITION TO CODE FOR FIRST LESION)",CPT
c17003_index_max_dd,numerical,659,17003,"DESTRUCTION (EG, LASER SURGERY, ELECTROSURGERY, CRYOSURGERY, CHEMOSURGERY, SURGICAL CURETTEMENT), PREMALIGNANT LESIONS (EG, ACTINIC KERATOSES); SECOND THROUGH 14 LESIONS, EACH (LIST SEPARATELY IN ADDITION TO CODE FOR FIRST LESION)",CPT
c17003_index_min_dd,numerical,691,17003,"DESTRUCTION (EG, LASER SURGERY, ELECTROSURGERY, CRYOSURGERY, CHEMOSURGERY, SURGICAL CURETTEMENT), PREMALIGNANT LESIONS (EG, ACTINIC KERATOSES); SECOND THROUGH 14 LESIONS, EACH (LIST SEPARATELY IN ADDITION TO CODE FOR FIRST LESION)",CPT
c17003_max_min_dd,numerical,355,17003,"DESTRUCTION (EG, LASER SURGERY, ELECTROSURGERY, CRYOSURGERY, CHEMOSURGERY, SURGICAL CURETTEMENT), PREMALIGNANT LESIONS (EG, ACTINIC KERATOSES); SECOND THROUGH 14 LESIONS, EACH (LIST SEPARATELY IN ADDITION TO CODE FOR FIRST LESION)",CPT
c17110_claim_cnt,numerical,15,17110,"DESTRUCTION (EG, LASER SURGERY, ELECTROSURGERY, CRYOSURGERY, CHEMOSURGERY, SURGICAL CURETTEMENT), OF BENIGN LESIONS OTHER THAN SKIN TAGS OR CUTANEOUS VASCULAR PROLIFERATIVE LESIONS; UP TO 14 LESIONS",CPT
c17110_flag,numerical,2,17110,"DESTRUCTION (EG, LASER SURGERY, ELECTROSURGERY, CRYOSURGERY, CHEMOSURGERY, SURGICAL CURETTEMENT), OF BENIGN LESIONS OTHER THAN SKIN TAGS OR CUTANEOUS VASCULAR PROLIFERATIVE LESIONS; UP TO 14 LESIONS",CPT
c17110_index_max_dd,numerical,558,17110,"DESTRUCTION (EG, LASER SURGERY, ELECTROSURGERY, CRYOSURGERY, CHEMOSURGERY, SURGICAL CURETTEMENT), OF BENIGN LESIONS OTHER THAN SKIN TAGS OR CUTANEOUS VASCULAR PROLIFERATIVE LESIONS; UP TO 14 LESIONS",CPT
c17110_index_min_dd,numerical,563,17110,"DESTRUCTION (EG, LASER SURGERY, ELECTROSURGERY, CRYOSURGERY, CHEMOSURGERY, SURGICAL CURETTEMENT), OF BENIGN LESIONS OTHER THAN SKIN TAGS OR CUTANEOUS VASCULAR PROLIFERATIVE LESIONS; UP TO 14 LESIONS",CPT
c17110_max_min_dd,numerical,179,17110,"DESTRUCTION (EG, LASER SURGERY, ELECTROSURGERY, CRYOSURGERY, CHEMOSURGERY, SURGICAL CURETTEMENT), OF BENIGN LESIONS OTHER THAN SKIN TAGS OR CUTANEOUS VASCULAR PROLIFERATIVE LESIONS; UP TO 14 LESIONS",CPT
c2022f_claim_cnt,numerical,11,2022F,DILATED RETINAL EYE EXAM WITH INTERPRETATION BY AN OPHTHALMOLOGIST OR OPTOMETRIST DOCUMENTED AND REVIEWED (DM),CPT
c2022f_flag,numerical,2,2022F,DILATED RETINAL EYE EXAM WITH INTERPRETATION BY AN OPHTHALMOLOGIST OR OPTOMETRIST DOCUMENTED AND REVIEWED (DM),CPT
c2022f_index_max_dd,numerical,520,2022F,DILATED RETINAL EYE EXAM WITH INTERPRETATION BY AN OPHTHALMOLOGIST OR OPTOMETRIST DOCUMENTED AND REVIEWED (DM),CPT
c2022f_index_min_dd,numerical,522,2022F,DILATED RETINAL EYE EXAM WITH INTERPRETATION BY AN OPHTHALMOLOGIST OR OPTOMETRIST DOCUMENTED AND REVIEWED (DM),CPT
c2022f_max_min_dd,numerical,219,2022F,DILATED RETINAL EYE EXAM WITH INTERPRETATION BY AN OPHTHALMOLOGIST OR OPTOMETRIST DOCUMENTED AND REVIEWED (DM),CPT
c20610_claim_cnt,numerical,25,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJOR JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIAL BURSA); WITHOUT ULTRASOUND GUIDANCE",CPT
c20610_flag,numerical,2,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJOR JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIAL BURSA); WITHOUT ULTRASOUND GUIDANCE",CPT
c20610_index_max_dd,numerical,710,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJOR JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIAL BURSA); WITHOUT ULTRASOUND GUIDANCE",CPT
c20610_index_min_dd,numerical,720,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJOR JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIAL BURSA); WITHOUT ULTRASOUND GUIDANCE",CPT
c20610_max_min_dd,numerical,526,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJOR JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIAL BURSA); WITHOUT ULTRASOUND GUIDANCE",CPT
c3008f_claim_cnt,numerical,26,3008F,"BODY MASS INDEX (BMI), DOCUMENTED (PV)",CPT
c3008f_flag,numerical,2,3008F,"BODY MASS INDEX (BMI), DOCUMENTED (PV)",CPT
c3008f_index_max_dd,numerical,488,3008F,"BODY MASS INDEX (BMI), DOCUMENTED (PV)",CPT
c3008f_index_min_dd,numerical,613,3008F,"BODY MASS INDEX (BMI), DOCUMENTED (PV)",CPT
c3008f_max_min_dd,numerical,404,3008F,"BODY MASS INDEX (BMI), DOCUMENTED (PV)",CPT
c3016f_claim_cnt,numerical,17,3016F,PATIENT SCREENED FOR UNHEALTHY ALCOHOL USE USING A SYSTEMATIC SCREENING METHOD (PV) (DSP),CPT
c3016f_flag,numerical,2,3016F,PATIENT SCREENED FOR UNHEALTHY ALCOHOL USE USING A SYSTEMATIC SCREENING METHOD (PV) (DSP),CPT
c3016f_index_max_dd,numerical,478,3016F,PATIENT SCREENED FOR UNHEALTHY ALCOHOL USE USING A SYSTEMATIC SCREENING METHOD (PV) (DSP),CPT
c3016f_index_min_dd,numerical,523,3016F,PATIENT SCREENED FOR UNHEALTHY ALCOHOL USE USING A SYSTEMATIC SCREENING METHOD (PV) (DSP),CPT
c3016f_max_min_dd,numerical,303,3016F,PATIENT SCREENED FOR UNHEALTHY ALCOHOL USE USING A SYSTEMATIC SCREENING METHOD (PV) (DSP),CPT
c3017f_claim_cnt,numerical,25,3017F,COLORECTAL CANCER SCREENING RESULTS DOCUMENTED AND REVIEWED (PV),CPT
c3017f_flag,numerical,2,3017F,COLORECTAL CANCER SCREENING RESULTS DOCUMENTED AND REVIEWED (PV),CPT
c3017f_index_max_dd,numerical,556,3017F,COLORECTAL CANCER SCREENING RESULTS DOCUMENTED AND REVIEWED (PV),CPT
c3017f_index_min_dd,numerical,627,3017F,COLORECTAL CANCER SCREENING RESULTS DOCUMENTED AND REVIEWED (PV),CPT
c3017f_max_min_dd,numerical,427,3017F,COLORECTAL CANCER SCREENING RESULTS DOCUMENTED AND REVIEWED (PV),CPT
c3074f_claim_cnt,numerical,23,3074F,"MOST RECENT SYSTOLIC BLOOD PRESSURE LESS THAN 130 MM HG (DM), (HTN, CKD, CAD)",CPT
c3074f_flag,numerical,2,3074F,"MOST RECENT SYSTOLIC BLOOD PRESSURE LESS THAN 130 MM HG (DM), (HTN, CKD, CAD)",CPT
c3074f_index_max_dd,numerical,535,3074F,"MOST RECENT SYSTOLIC BLOOD PRESSURE LESS THAN 130 MM HG (DM), (HTN, CKD, CAD)",CPT
c3074f_index_min_dd,numerical,653,3074F,"MOST RECENT SYSTOLIC BLOOD PRESSURE LESS THAN 130 MM HG (DM), (HTN, CKD, CAD)",CPT
c3074f_max_min_dd,numerical,439,3074F,"MOST RECENT SYSTOLIC BLOOD PRESSURE LESS THAN 130 MM HG (DM), (HTN, CKD, CAD)",CPT
c3078f_claim_cnt,numerical,24,3078F,"MOST RECENT DIASTOLIC BLOOD PRESSURE LESS THAN 80 MM HG (HTN, CKD, CAD) (DM)",CPT
c3078f_flag,numerical,2,3078F,"MOST RECENT DIASTOLIC BLOOD PRESSURE LESS THAN 80 MM HG (HTN, CKD, CAD) (DM)",CPT
c3078f_index_max_dd,numerical,556,3078F,"MOST RECENT DIASTOLIC BLOOD PRESSURE LESS THAN 80 MM HG (HTN, CKD, CAD) (DM)",CPT
c3078f_index_min_dd,numerical,663,3078F,"MOST RECENT DIASTOLIC BLOOD PRESSURE LESS THAN 80 MM HG (HTN, CKD, CAD) (DM)",CPT
c3078f_max_min_dd,numerical,496,3078F,"MOST RECENT DIASTOLIC BLOOD PRESSURE LESS THAN 80 MM HG (HTN, CKD, CAD) (DM)",CPT
c3288f_claim_cnt,numerical,14,3288F,FALLS RISK ASSESSMENT DOCUMENTED (GER),CPT
c3288f_flag,numerical,2,3288F,FALLS RISK ASSESSMENT DOCUMENTED (GER),CPT
c3288f_index_max_dd,numerical,550,3288F,FALLS RISK ASSESSMENT DOCUMENTED (GER),CPT
c3288f_index_min_dd,numerical,604,3288F,FALLS RISK ASSESSMENT DOCUMENTED (GER),CPT
c3288f_max_min_dd,numerical,284,3288F,FALLS RISK ASSESSMENT DOCUMENTED (GER),CPT
c3570f_claim_cnt,numerical,8,3570F,"FINAL REPORT FOR BONE SCINTIGRAPHY STUDY INCLUDES CORRELATION WITH EXISTING RELEVANT IMAGING STUDIES (EG, X RAY, MRI, CT) CORRESPONDING TO THE SAME ANATOMICAL REGION IN QUESTION (NUC_MED)",CPT
c3570f_flag,numerical,2,3570F,"FINAL REPORT FOR BONE SCINTIGRAPHY STUDY INCLUDES CORRELATION WITH EXISTING RELEVANT IMAGING STUDIES (EG, X RAY, MRI, CT) CORRESPONDING TO THE SAME ANATOMICAL REGION IN QUESTION (NUC_MED)",CPT
c3570f_index_max_dd,numerical,639,3570F,"FINAL REPORT FOR BONE SCINTIGRAPHY STUDY INCLUDES CORRELATION WITH EXISTING RELEVANT IMAGING STUDIES (EG, X RAY, MRI, CT) CORRESPONDING TO THE SAME ANATOMICAL REGION IN QUESTION (NUC_MED)",CPT
c3570f_index_min_dd,numerical,703,3570F,"FINAL REPORT FOR BONE SCINTIGRAPHY STUDY INCLUDES CORRELATION WITH EXISTING RELEVANT IMAGING STUDIES (EG, X RAY, MRI, CT) CORRESPONDING TO THE SAME ANATOMICAL REGION IN QUESTION (NUC_MED)",CPT
c3570f_max_min_dd,numerical,456,3570F,"FINAL REPORT FOR BONE SCINTIGRAPHY STUDY INCLUDES CORRELATION WITH EXISTING RELEVANT IMAGING STUDIES (EG, X RAY, MRI, CT) CORRESPONDING TO THE SAME ANATOMICAL REGION IN QUESTION (NUC_MED)",CPT
c36415_claim_cnt,numerical,68,36415,COLLECTION OF VENOUS BLOOD BY VENIPUNCTURE,CPT
c36415_flag,numerical,2,36415,COLLECTION OF VENOUS BLOOD BY VENIPUNCTURE,CPT
c36415_index_max_dd,numerical,732,36415,COLLECTION OF VENOUS BLOOD BY VENIPUNCTURE,CPT
c36415_index_min_dd,numerical,732,36415,COLLECTION OF VENOUS BLOOD BY VENIPUNCTURE,CPT
c36415_max_min_dd,numerical,732,36415,COLLECTION OF VENOUS BLOOD BY VENIPUNCTURE,CPT
c36620_claim_cnt,numerical,5,36620,"ARTERIAL CATHETERIZATION OR CANNULATION FOR SAMPLING, MONITORING OR TRANSFUSION (SEPARATE PROCEDURE); PERCUTANEOUS",CPT
c36620_flag,numerical,2,36620,"ARTERIAL CATHETERIZATION OR CANNULATION FOR SAMPLING, MONITORING OR TRANSFUSION (SEPARATE PROCEDURE); PERCUTANEOUS",CPT
c36620_index_max_dd,numerical,446,36620,"ARTERIAL CATHETERIZATION OR CANNULATION FOR SAMPLING, MONITORING OR TRANSFUSION (SEPARATE PROCEDURE); PERCUTANEOUS",CPT
