Variable,Type,NumUniqueValues,Code,Description,Class,Variable_Type,Positive Above 0,Negative Above 0,Positive Mean above 0,Negative Mean above 0
c3008f_index_min_dd,numerical,613,3008F,"BODY MASS INDEX (BMI), DOCUMENTED (PV)",CPT,Date_Difference,48,1326,290.9791666666667,326.5678733031674
c3008f_max_min_dd,numerical,404,3008F,"BODY MASS INDEX (BMI), DOCUMENTED (PV)",CPT,Date_Difference,19,643,247.1578947368421,294.2146189735614
c3016f_claim_cnt,numerical,17,3016F,PATIENT SCREENED FOR UNHEALTHY ALCOHOL USE USING A SYSTEMATIC SCREENING METHOD (PV) (DSP),CPT,NA,54,1020,3.388888888888889,2.3254901960784315
c3016f_index_max_dd,numerical,478,3016F,PATIENT SCREENED FOR UNHEALTHY ALCOHOL USE USING A SYSTEMATIC SCREENING METHOD (PV) (DSP),CPT,Date_Difference,40,885,280.625,289.87118644067795
c3016f_index_min_dd,numerical,523,3016F,PATIENT SCREENED FOR UNHEALTHY ALCOHOL USE USING A SYSTEMATIC SCREENING METHOD (PV) (DSP),CPT,Date_Difference,46,955,438.82608695652175,392.48376963350785
c3016f_max_min_dd,numerical,303,3016F,PATIENT SCREENED FOR UNHEALTHY ALCOHOL USE USING A SYSTEMATIC SCREENING METHOD (PV) (DSP),CPT,Date_Difference,30,468,298.7,252.74786324786325
c3017f_claim_cnt,numerical,25,3017F,COLORECTAL CANCER SCREENING RESULTS DOCUMENTED AND REVIEWED (PV),CPT,NA,83,1657,2.6265060240963853,2.5902232951116475
c3017f_index_max_dd,numerical,556,3017F,COLORECTAL CANCER SCREENING RESULTS DOCUMENTED AND REVIEWED (PV),CPT,Date_Difference,68,1465,228.1764705882353,226.64846416382252
c3017f_index_min_dd,numerical,627,3017F,COLORECTAL CANCER SCREENING RESULTS DOCUMENTED AND REVIEWED (PV),CPT,Date_Difference,78,1554,351.3333333333333,340.9060489060489
c3017f_max_min_dd,numerical,427,3017F,COLORECTAL CANCER SCREENING RESULTS DOCUMENTED AND REVIEWED (PV),CPT,Date_Difference,41,781,289.9512195121951,253.17285531370038
c3074f_claim_cnt,numerical,23,3074F,"MOST RECENT SYSTOLIC BLOOD PRESSURE LESS THAN 130 MM HG (DM), (HTN, CKD, CAD)",CPT,NA,64,1553,2.15625,2.5067611075338054
c3074f_index_max_dd,numerical,535,3074F,"MOST RECENT SYSTOLIC BLOOD PRESSURE LESS THAN 130 MM HG (DM), (HTN, CKD, CAD)",CPT,Date_Difference,59,1397,228.11864406779662,211.83106657122406
c3074f_index_min_dd,numerical,653,3074F,"MOST RECENT SYSTOLIC BLOOD PRESSURE LESS THAN 130 MM HG (DM), (HTN, CKD, CAD)",CPT,Date_Difference,62,1470,359.9516129032258,341.6387755102041
c3074f_max_min_dd,numerical,439,3074F,"MOST RECENT SYSTOLIC BLOOD PRESSURE LESS THAN 130 MM HG (DM), (HTN, CKD, CAD)",CPT,Date_Difference,35,719,253.0857142857143,286.89986091794157
c3078f_claim_cnt,numerical,24,3078F,"MOST RECENT DIASTOLIC BLOOD PRESSURE LESS THAN 80 MM HG (HTN, CKD, CAD) (DM)",CPT,NA,78,1833,2.5,2.827605019094381
c3078f_index_max_dd,numerical,556,3078F,"MOST RECENT DIASTOLIC BLOOD PRESSURE LESS THAN 80 MM HG (HTN, CKD, CAD) (DM)",CPT,Date_Difference,71,1628,236.4788732394366,207.39864864864865
c3078f_index_min_dd,numerical,663,3078F,"MOST RECENT DIASTOLIC BLOOD PRESSURE LESS THAN 80 MM HG (HTN, CKD, CAD) (DM)",CPT,Date_Difference,76,1742,363.44736842105266,348.2566016073479
c3078f_max_min_dd,numerical,496,3078F,"MOST RECENT DIASTOLIC BLOOD PRESSURE LESS THAN 80 MM HG (HTN, CKD, CAD) (DM)",CPT,Date_Difference,40,916,270.8,293.6877729257642
c3288f_claim_cnt,numerical,14,3288F,FALLS RISK ASSESSMENT DOCUMENTED (GER),CPT,NA,50,1305,1.32,1.5992337164750958
c3288f_index_max_dd,numerical,550,3288F,FALLS RISK ASSESSMENT DOCUMENTED (GER),CPT,Date_Difference,49,1227,281.3061224489796,260.0749796251019
c3288f_index_min_dd,numerical,604,3288F,FALLS RISK ASSESSMENT DOCUMENTED (GER),CPT,Date_Difference,50,1246,313.04,333.8049759229535
c3288f_max_min_dd,numerical,284,3288F,FALLS RISK ASSESSMENT DOCUMENTED (GER),CPT,Date_Difference,6,377,311.3333333333333,256.7877984084881
c3570f_claim_cnt,numerical,8,3570F,"FINAL REPORT FOR BONE SCINTIGRAPHY STUDY INCLUDES CORRELATION WITH EXISTING RELEVANT IMAGING STUDIES (EG, X RAY, MRI, CT) CORRESPONDING TO THE SAME ANATOMICAL REGION IN QUESTION (NUC_MED)",CPT,NA,415,5274,1.2987951807228915,1.1742510428517254
c3570f_index_max_dd,numerical,639,3570F,"FINAL REPORT FOR BONE SCINTIGRAPHY STUDY INCLUDES CORRELATION WITH EXISTING RELEVANT IMAGING STUDIES (EG, X RAY, MRI, CT) CORRESPONDING TO THE SAME ANATOMICAL REGION IN QUESTION (NUC_MED)",CPT,Date_Difference,262,3149,179.77862595419847,163.5061924420451
c3570f_index_min_dd,numerical,703,3570F,"FINAL REPORT FOR BONE SCINTIGRAPHY STUDY INCLUDES CORRELATION WITH EXISTING RELEVANT IMAGING STUDIES (EG, X RAY, MRI, CT) CORRESPONDING TO THE SAME ANATOMICAL REGION IN QUESTION (NUC_MED)",CPT,Date_Difference,305,3470,253.01311475409835,215.74610951008646
c3570f_max_min_dd,numerical,456,3570F,"FINAL REPORT FOR BONE SCINTIGRAPHY STUDY INCLUDES CORRELATION WITH EXISTING RELEVANT IMAGING STUDIES (EG, X RAY, MRI, CT) CORRESPONDING TO THE SAME ANATOMICAL REGION IN QUESTION (NUC_MED)",CPT,Date_Difference,90,690,334.0777777777778,338.77971014492755
c36415_claim_cnt,numerical,68,36415,COLLECTION OF VENOUS BLOOD BY VENIPUNCTURE,CPT,NA,1899,39500,5.161664033701949,4.233594936708861
c36415_index_max_dd,numerical,732,36415,COLLECTION OF VENOUS BLOOD BY VENIPUNCTURE,CPT,Date_Difference,1339,30033,128.00597460791636,130.00479472580162
c36415_index_min_dd,numerical,732,36415,COLLECTION OF VENOUS BLOOD BY VENIPUNCTURE,CPT,Date_Difference,1732,36541,428.9988452655889,395.3554363591582
